type,indicator,sessions,context
cve,CVE-2021-44228,66757,"Apache Log4j2 JNDI remote code execution (Log4Shell). CVSS 10.0; in CISA KEV since 9 December 2021. Corpus-wide connection attempts carrying the Apache Log4j RCE Attempt tag this period. Do not read this as an adversary ranking: 40,534 of the 66,757, or 61%, came from a single /24 that GreyNoise Business Service Intelligence resolves in full to Qualys, a commercial vulnerability management service. That range is named in Finding 1 of the brief so it can be excluded from attempt-volume metrics; it is deliberately not carried as an indicator here, because it must not be blocked. No prior-period comparison is asserted."
cve,CVE-2025-48927,19791,"TeleMessage TM SGNL Spring Boot Actuator /heapdump disclosure. CVSS 5.3; in CISA KEV since 30 June 2025. Corpus-wide exploitation attempts this period, of which 6,081 (31%) came from the single host 213.209.159.175 on AS208137. No prior-period comparison is asserted."
cve,CVE-2025-53770,88,"Microsoft SharePoint ToolShell deserialization remote code execution. CVSS 9.8; in CISA KEV since 19 July 2025. Corpus-wide exploitation attempts this period from 16 distinct malicious sources inside the window, active on five of seven days at no more than 5 sources on any day. The 16-source set is shared with CVE-2025-49704 and the two tags must not be summed. Patch state is necessary and not sufficient; hunt the implant artifact separately."
cve,CVE-2025-49704,88,"Microsoft SharePoint ToolShell authentication bypass and code injection. CVSS 8.8; in CISA KEV since 21 July 2025. Corpus-wide exploitation attempts this period from the same 16-source malicious set as CVE-2025-53770, tripping both signatures on the same requests. Against this, 135 distinct suspicious sources swept for the resulting web shell artifact inside the window, running between 52 and 69 on every one of the seven days. Measured on distinct sources, that is roughly eight times the exploitation population."
cve,CVE-2023-4966,56,"Citrix NetScaler ADC and Gateway session token disclosure (Citrix Bleed). CVSS 9.4; in CISA KEV since 17 October 2023. Corpus-wide exploitation attempts this period from 28 unique malicious sources, peaking at 11 sources on 21 August. Separate from the 17 August SD-WAN burst and running on a different schedule."
cve,CVE-2025-58360,42,"GeoServer XML external entity flaw in the WMS GetMap request handler, reaching unauthenticated file read and internal request forgery. CVSS 8.2; in CISA KEV since 10 December 2025. Corpus-wide exploitation attempts this period from 38 distinct sources inside the window. Attempts concentrated in the final three days, at 12, 16 and 7 unique sources on 21, 22 and 23 August, against no more than two sources on any earlier day. Every source GreyNoise observed on the tag inside the window classifies malicious, with no benign or unknown tail; a handful carry a research-scanner attribution, so resolve each address before acting on it. Discovery traffic against /geoserver/ ran 14,842 connection attempts over the same window."
cve,CVE-2026-20133,41,"Cisco Catalyst SD-WAN Manager file system access control flaw. CVSS 6.5; in CISA KEV since 19 April 2026. Corpus-wide exploitation attempts this period, 12 malicious sources on 17 August alone against zero on each of the three days before the window and no more than one on any later day. The vendor record is internally inconsistent on whether an authenticated session is required, so do not scope urgency to that assumption."
cve,CVE-2023-6549,21,"Citrix NetScaler ADC out-of-bounds read reaching unauthenticated denial of service. CVSS 8.2; in CISA KEV since 16 January 2024. Corpus-wide exploitation attempts this period. Sits behind the same Citrix ADC / NetScaler Scanner discovery layer, which recorded 2,055 connection attempts this period; GreyNoise has not measured source overlap between them. First appearance in this brief series."
cve,CVE-2017-6316,11,"Citrix NetScaler SD-WAN root-level command execution through a manipulated session cookie on the management interface. CVSS 9.8; in CISA KEV since 24 March 2022. Corpus-wide exploitation attempts this period, all from 10 malicious sources on 17 August with zero on each of the six days that followed. No benign members in the source set. Alert on first sighting of the request path rather than on a rate threshold."
cidr,45.141.233.0/24,9048832,"Connection attempts from 14 active hosts on AS201814 (MEVSPACE), the largest single active block of the period. Do not block at the perimeter as a range: GreyNoise's separate seven-day view of this range returns 17 addresses and classifies two of them malicious, recommending a block on both: 45.141.233.86 carries the RDP Bruteforce Attempt tag and 45.141.233.145 carries Generic IoT Default Password Attempt. Restrict those two and resolve every other member individually. Each of the 14 hosts observed in our own data carries one passive source fingerprint tag, and no CVE tag was observed on any of them. Only 1.5% of its connection attempts landed on 3389, and the remainder spread across tens of thousands of ephemeral high ports. Verify that ingress and egress rules cover the full port range and not a named-service list. Every host named from our own data was first observed on 12 August, so address-based controls here decay within days."
