type,indicator,sessions,context
cve,CVE-2025-55182,506739,"Meta React Server Components unsafe deserialization reaching unauthenticated remote code execution. CVSS 10.0; in CISA KEV since 5 December 2025. Local sensor connection attempts carrying the exploitation tag this period, the largest of the eight CVE-specific exploitation-attempt tags the brief ranks. Louder tags ran on other intentions, so this is not a corpus-wide leaderboard. Volume has eased across three periods: 794,580 across a ten-day window, then 594,603, then 506,739 here. Public exploit code is abundant and a named tool now automates the full sequence. Detect on the request structure and endpoint, and treat any request to the hardcoded endpoint as an event regardless of payload encoding."
tool,nextrce-exploitation-tool-cve-2025-55182,3367,"NextRce, a public exploitation tool for CVE-2025-55182 in React Server Components, carried by the GreyNoise tag of the same name. Local sensor connection attempts on the tool tag this period. The tool posts a crafted multipart prototype-pollution payload to a hardcoded /adfa endpoint, returns base64 encoded command output inside the framework error digest field on the original response, and ships a variant that encodes the payload part as UTF-16LE. Detect on the endpoint and the request structure, never on the payload byte string. This figure is the tool tag only and is not the size of the tool's use: a request can carry the flaw payload without matching this tool request construction, and the flaw tag itself recorded 506,739 connection attempts."
cve,CVE-2017-9841,476370,"PHPUnit eval-stdin.php remote code execution. CVSS 9.8; in CISA KEV since 15 February 2022. Local sensor connection attempts this period, within 10% of the React Server Components figure despite the flaw dating to 2017. Do not read the rank as risk. GreyNoise records zero benign sources on this tag over 24 hours against 1,245 malicious, so the population here is not the reason to de-prioritize it; the reason to check a source population before quoting a figure is the Apache path traversal flaw, where 141 of 897 sources classify benign. No prior-period comparison is asserted."
cve,CVE-2025-30208,465326,"Vite development server arbitrary file disclosure via ?raw?? and ?import&raw?? request suffixes. CVSS 5.3; NOT listed in CISA KEV. Local sensor connection attempts this period, within 10% of the React Server Components figure. The inversion matters: a sibling file disclosure flaw in the same product, CVE-2025-31125, IS in CISA KEV since 22 January 2026 while this far louder one is not, so a KEV-ordered queue and a volume-ordered queue disagree on the same product. No prior-period comparison is asserted."
cve,CVE-2021-36260,121068,"Hikvision IP camera web interface command injection reaching unauthenticated remote code execution. CVSS 9.8; in CISA KEV since 10 January 2022. Local sensor connection attempts this period. Most of that volume came from the single host 204.76.203.43 on AS51396, which GreyNoise classifies malicious, paired with file upload attempts at comparable volume from the same host. No prior-period comparison is asserted."
cve,CVE-2021-41773,94248,"Apache HTTP Server 2.4.49 path traversal reaching file disclosure and remote code execution. CVSS 9.8; in CISA KEV since 3 November 2021. Local sensor connection attempts this period. Scope any alert by source classification: GreyNoise records 141 benign sources alongside 756 malicious on this tag over 24 hours, so roughly one source in six is authorized scanning. No prior-period comparison is asserted."
cve,CVE-2025-29927,85023,"Next.js authorization middleware bypass. A single HTTP header makes the framework skip middleware, which is where many applications place their authentication and authorization checks, so the application logs the request as authorized. CVSS 9.1; NOT listed in CISA KEV, so a KEV-driven patch queue will not contain it. Local sensor connection attempts this period. The source population is the signal: three unique sources on 23 August and no more than one on each day from 24 to 27 August, then 28 on 28 August, 426 on 29 August and 495 on 30 August, still rising when the window closed at 21:52 UTC. GreyNoise classified 798 of the 802 sources observed on the tag as malicious, or 99.5%; the four benign members are Censys (two addresses), Cortex Xpanse and ShadowServer[.]org, all commercial research scanners. There is no scanner tag ahead of it, because Next.js identifies itself in HTTP response headers."
cve,CVE-2012-1823,74674,PHP-CGI query string argument injection reaching remote code execution. CVSS 9.8; in CISA KEV since 25 March 2022. Local sensor connection attempts this period. No prior-period comparison is asserted.
cve,CVE-2024-4577,44449,PHP-CGI on Windows best-fit character conversion argument injection reaching remote code execution. CVSS 9.8; in CISA KEV since 12 June 2024. Local sensor connection attempts this period. Pair remediation with CVE-2021-41773; both are KEV-listed CVSS 9.8 items sitting mid-table on volume. No prior-period comparison is asserted.
cve,CVE-2025-48927,33294,"TeleMessage TM SGNL Spring Boot Actuator /heapdump disclosure. CVSS 5.3; in CISA KEV since 1 July 2025. Local sensor connection attempts this period, of which 7,746 (23%) came from the single malicious host 213.209.159.175 on AS208137, a host this series has carried since the 2026-06-22 brief. No prior-period comparison is asserted for the tag."
cve,CVE-2024-36401,4721,"OSGeo GeoServer GeoTools unauthenticated remote code execution. Scope to the affected and fixed version ranges in the CVE record. CVSS 9.8; in CISA KEV since 15 July 2024. Local sensor connection attempts this period against the 672 the 2026-08-23 brief recorded, with the GeoServer discovery layer beneath it at 19,686 against 14,842. Unique sources on the exploitation tag moved from 4 on 28 August to 58 on 29 August and 87 on 30 August. The Cacti command injection tag and the Atlassian Confluence Template Injection RCE Attempt tag for CVE-2023-22527 each reached exactly 58 unique sources on 29 August, from no more than three on any earlier day of the window, on three products with nothing in common."
cve,CVE-2023-22527,N/A,"Atlassian Confluence template injection reaching remote code execution, carried by the Atlassian Confluence Template Injection RCE Attempt tag. Unique sources on the tag ran 0 to 3 on every day from 23 to 28 August, then exactly 58 on 29 August and 58 on 30 August; every source observed on the tag in the default view classifies malicious. This is the Confluence tag that moved with GeoServer and Cacti on 29 August. No session figure is asserted for this tag; the claim rests on unique-source counts."
cve,CVE-2025-5777,3354,Citrix NetScaler ADC and Gateway memory disclosure (CitrixBleed 2). CVSS 7.5; in CISA KEV since 10 July 2025. Local sensor connection attempts this period. Scope any alert by source classification: roughly half the sources GreyNoise observes on this tag over 24 hours classify benign. This tag ran through the same window as the 30 August legacy Citrix cohort. No prior-period comparison is asserted.
