type,indicator,sessions,context
cve,CVE-2025-29927,466856,"Next.js middleware authorization bypass. A single HTTP header makes the framework skip middleware, which is where many applications place their authentication and authorization checks. CVSS 9.1; NOT listed in CISA KEV, so a KEV-driven patch queue will not contain it. Local sensor connection attempts this period, against 85,023 across just under eight days in the 2026-08-30 brief, a daily rate roughly four and a half times higher. GreyNoise observed the global unique-source count spike to 2,765 on 06 September, thirty times the preceding day."
cve,CVE-2025-55182,435091,"Meta React Server Components unsafe deserialization reaching unauthenticated remote code execution. CVSS 10.0; in CISA KEV since 05 December 2025, with known ransomware use. Local sensor connection attempts this period, roughly 30% down on a daily rate against the 506,739 the 2026-08-30 brief recorded, and down across four periods: 794,580, then 594,603, then 506,739, then 435,091 here. The separate NextRce tool tag moved the other way, to 10,790 from 3,367, so the share of traffic matching the published tool has risen from 0.7% to 2.5% while the total falls. Write the rule against the request structure and endpoint, never against the payload byte string."
cve,CVE-2018-2628,148404,"Oracle WebLogic Server T3 deserialization reaching unauthenticated remote code execution on the application server. CVSS 9.8; in CISA KEV since 08 September 2022. Local sensor connection attempts this period, of which 52,730 (36%) came from the single malicious host 34.19.127.210 on AS396982. The WebLogic discovery layer beneath it ran at 431,376 connection attempts and Oracle TNS enumeration at 234,834. Where patching is blocked, restrict the T3 listener to a management network as the compensating control. No prior-period comparison is asserted."
cve,CVE-2020-14882,13740,"Oracle WebLogic Server administration console authentication bypass. Rated CVSS 9.8 and in CISA KEV since 03 November 2021. Local sensor connection attempts this period. Work it against the same inventory pass as CVE-2018-2628 and CVE-2020-14750: adversaries attempted eleven separate WebLogic flaws this period, so a ticket scoped to one identifier closes a fraction of what was attempted. No prior-period comparison is asserted."
cve,CVE-2020-14750,13723,"Oracle WebLogic Server administration console access control bypass, the companion flaw to CVE-2020-14882 and observed at almost the same volume. Rated CVSS 9.8 and in CISA KEV since 03 November 2021. Local sensor connection attempts this period. Adversaries made a further 2,833 attempts against a proxy plug-in access control bypass, with smaller counts against seven more WebLogic flaws disclosed between 2014 and 2022. No prior-period comparison is asserted."
cve,CVE-2018-13379,2940,"Fortinet FortiOS SSL VPN path traversal reaching unauthenticated file disclosure, including session credentials. CVSS 9.1; in CISA KEV since 03 November 2021, with known ransomware use. Local sensor connection attempts this period. Scope any alert by source classification: GreyNoise records large benign-scanner populations on this tag, and its global source count stepped up sharply on 03 September at the same time two unrelated benign academic crawlers appeared, which points to a sensor-coverage change rather than a campaign. No prior-period comparison is asserted."
cve,CVE-2025-0108,1046,Palo Alto Networks PAN-OS management web interface authentication bypass. Rated CVSS 9.1 and in CISA KEV since 18 February 2025. Local sensor connection attempts this period. One of three further KEV-listed PAN-OS items observed alongside CVE-2026-0257; work all four against a single GlobalProtect and management-interface inventory pass. No prior-period comparison is asserted.
cve,CVE-2024-3400,647,"Palo Alto Networks PAN-OS GlobalProtect command injection reaching unauthenticated remote code execution. Rated CVSS 10.0 and in CISA KEV since 12 April 2024, with known ransomware use. Local sensor connection attempts this period. Observed against the same PAN-OS estate as CVE-2026-0257 and worth working in the same inventory pass. No prior-period comparison is asserted."
cve,CVE-2020-3452,508,"Cisco ASA and Firepower Threat Defense web services arbitrary file retrieval. CVSS 7.5; in CISA KEV since 03 November 2021. Local sensor connection attempts this period, beneath a Cisco ASA discovery layer of 887,261 attempts, so the discovery traffic runs roughly 1,700 times the exploitation attempts. Its global source count stepped up on 03 September in the same pattern as CVE-2018-13379; treat that step as possible sensor-coverage change until confirmed. No prior-period comparison is asserted."
cve,CVE-2024-0012,458,"Palo Alto Networks PAN-OS management web interface authentication bypass. Rated CVSS 9.8 and in CISA KEV since 18 November 2024, with known ransomware use. Local sensor connection attempts this period, the smallest of the three legacy KEV-listed PAN-OS items observed alongside CVE-2026-0257. No prior-period comparison is asserted."
cve,CVE-2026-0257,142,"Palo Alto Networks PAN-OS GlobalProtect authentication bypass, giving an unauthenticated caller a path onto the VPN with no failed login for an access review to key on. CVSS 9.1; in CISA KEV since 29 May 2026, with known ransomware use, and public exploit code is available. Local sensor connection attempts this period against 160 across the 2026-08-17 brief's window, so local volume is effectively flat. The source structure is what moved: GreyNoise observed 64 unique sources on 02 September against one on 31 August and none on every other day, all 65 classified malicious, with zero benign sources at 24 hours, 10 days and 30 days. Alert on first sighting, never on rate."
