type,indicator,sessions,context
cve,CVE-2024-1709,N/A,"ConnectWise ScreenConnect Authentication Bypass; CVSS 10.0; CISA KEV; exploited by Alsycon B.V. and VisionHeight clusters across 89+ countries"
cve,CVE-2025-55182,910818,"React Server Components Unsafe Deserialization RCE; CVSS 10.0; CISA KEV; 9 botnets integrated; 18th consecutive week; -16.0% WoW"
cve,CVE-2020-2034,229763,"Palo Alto Networks PAN-OS GlobalProtect Command Injection; CVSS 8.1; 1,029 malicious IPs in last 10 days; VisionHeight platform primary exploit"
cve,CVE-2021-41773,258573,"Apache HTTP Server Path Traversal and RCE; CVSS 9.8; CISA KEV; combined generic and specific path traversal tag sessions"
cve,CVE-2014-8361,91790,"Realtek Miniigd UPnP Worm; 15 botnets integrated; 6,219 malicious IPs in last 10 days; persistent IoT recruitment vector"
domain,scan[.]visionheight[.]com,6162720,"VisionHeight scanning platform; 4 AWS Ohio nodes; shared TLS fingerprint cba7f34191ef2379c1325641f6c6c4f4; 89 countries targeted"
cidr,160.119.76.0/24,N/A,"Alsycon B.V. (AS49870) Netherlands; 3 IPs with 33-40 exploitation tags each; 33.9M combined sensor hits; block at perimeter"
cidr,165.245.166.0/24,4501443,"DigitalOcean Virginia VNC scanning cluster; 3 IPs partitioning VNC displays :2-:10; block at perimeter"
cidr,128.199.240.0/24,4358154,"DigitalOcean Singapore full-port scanning cluster; part of 4-IP recon operation targeting US infrastructure; block at perimeter"
fingerprint,TLS fingerprint cba7f34191ef2379c1325641f6c6c4f4,N/A,"Shared across all 4 VisionHeight platform nodes; use for correlation in TLS inspection logs"
user_agent,ZMap Client,818727,"Reconnaissance scanning tool used by VisionHeight platform and other scanning operations"
user_agent,Go HTTP Client,1522280,"Generic Go-based scanning client; associated with multiple automated scanning campaigns this period"
user_agent,Nmap,905063,"Network reconnaissance tool; elevated usage consistent with broad service enumeration campaigns"
user_agent,Python Requests Client,259886,"Python-based scanning automation; commonly associated with exploit delivery and CVE scanning frameworks"
