type,indicator,sessions,context
tag,Cisco SSL VPN Bruteforcer,743802,"Distributed credential brute-force against Cisco Secure Client / AnyConnect SSL VPN portals on TCP/443. The count of distinct malicious sources jumped to 3,645 on 2026-06-23 from double digits per day a week earlier; 5,464 distinct sources generated 743,802 login attempts across the window. Roughly 132 sources (last 30 days) also carry the Fortinet SSL VPN brute-force behavior, confirming multi-vendor credential attackers, but the activity is not attributable to a single operator. Sessions = corpus-wide login attempts this week."
ja4t,65495_2-4-8-1-3_65495_7,1742198,"Crafted jumbo-frame TCP fingerprint (MSS 65495) carried by most Cisco and Fortinet SSL VPN brute-force sessions (99.996% of Fortinet sessions this window). NON-discriminating: it also appears on 150,000+ distinct IPs of unrelated traffic, so it is a triage aid, not a precise link or a shared-operator signal. Sessions = Fortinet SSL VPN Bruteforcer sessions carrying this JA4T, 2026-05-24 to 06-23."
ja4h,po11nr18ruru_e67ed0b269e3_000000000000_000000000000,1194373,"Dominant client (HTTP) fingerprint on the Fortinet SSL VPN brute-force, 68.5% of sessions, 2026-05-24 to 06-23. Durable detection aid for the Fortinet login brute-force. Sessions = Fortinet SSL VPN Bruteforcer sessions carrying this JA4H."
ja4h,po11nn030000_51b2f3543123_000000000000_000000000000,264371,"Second most common client fingerprint on the Fortinet SSL VPN brute-force, 2026-05-24 to 06-23. Sessions = Fortinet SSL VPN Bruteforcer sessions carrying this JA4H."
ja4h,po11nn060000_9f9551191da7_000000000000_000000000000,173286,"Third most common client fingerprint on the Fortinet SSL VPN brute-force, 2026-05-24 to 06-23. Sessions = Fortinet SSL VPN Bruteforcer sessions carrying this JA4H."
tag,Fortinet SSL VPN Bruteforcer,1742263,"Credential brute-force against Fortinet SSL VPN login portals (TCP/10443, 99.87%). A months-long campaign peaked at 237,584 attempts on 2026-06-02, stood down to 276 on 06-04, and has been dormant since. 10,341 sources over the prior 30 days, classified malicious. Shared as telemetry on a surface named in FortiBleed reporting; GreyNoise observes the network-side activity, not the leak. Sessions = attempts over the prior 30 days."
cve,CVE-2026-24858,0,"Fortinet multi-product FortiCloud SSO authentication bypass. CVSS 9.8. CISA KEV. Referenced alongside FortiBleed. Fortinet confirmed in-the-wild exploitation earlier in 2026; GreyNoise maintains a detection tag and observed no sessions across its sensors this window. Point-in-time 2026-06-23."
cve,CVE-2025-59718,7,"Fortinet FortiOS/FortiProxy FortiCloud SSO SAML authentication bypass. CVSS 9.8. CISA KEV. GreyNoise observed 7 sessions from 4 DigitalOcean-hosted sources, all classified malicious and also matched to the DigitalOcean business service (opportunistic multi-CVE crawlers, not targeted). Sessions = attempts observed, 2026-05-24 to 06-23."
cve,CVE-2025-59719,0,"Fortinet FortiWeb FortiCloud SSO SAML authentication bypass. CVSS 9.8. GreyNoise holds CVE intelligence (no detection tag) and observed no sessions across its sensors this window. Point-in-time 2026-06-23."
tag,MSSQL TDS PRELOGIN Scanner,1578138,"Large MSSQL login-scanning population (9,126 distinct sources this week) that some FortiBleed reporting associates with the same activity. ZERO source-IP overlap with the Fortinet SSL VPN brute-force population, so the two cannot be connected in GreyNoise data. Suspicious classification. Sessions = corpus-wide this week."
