type,indicator,sessions,context
cve,CVE-2026-35616,4801943,"Fortinet FortiClient EMS pre-auth API bypass; CVSS 9.8; CISA KEV; 17 days disclosure-to-mass-exploitation"
cve,CVE-2026-24061,N/A,"GNU Inetutils telnetd auth bypass; CVSS 9.8; CISA KEV; actively weaponized in VPSVAULT IoT worm payloads"
cve,CVE-2026-21962,N/A,"Oracle WebLogic Proxy Plug-in access control bypass; CVSS 10.0; observed on multi-CVE exploit platform 85.11.167.11"
cve,CVE-2025-55182,724172,"React Server Components unsafe deserialization RCE; CVSS 10.0; CISA KEV; -33.2% WoW but persistent"
cve,CVE-2024-1709,N/A,"ConnectWise ScreenConnect auth bypass; CVSS 10.0; CISA KEV; targeted by VisionHeight cluster"
cve,CVE-2020-2034,187509,"Palo Alto Networks PAN-OS GlobalProtect command injection; CVSS 8.1; actively scanned by VisionHeight cluster"
cve,CVE-2025-54322,N/A,"Xspeeder SXZOS RCE; CVSS 10.0; observed in VPSVAULT cluster IoT exploit arsenal"
domain,scan[.]visionheight[.]com,8951009,"VisionHeight scanning cluster rDNS; 6 nodes on AWS AS16509 US-Ohio; 107 days active; block at perimeter"
cidr,80.94.95.0/24,2099180,"SS-Net Romania; dedicated RDP brute-force cluster targeting non-standard ports 3000-5000; block at perimeter"
cidr,45.205.1.0/24,3352578,"VPSVAULT.HOST LTD AS215925; IoT worm platform with 18+ CVE exploits; block at perimeter"
cidr,91.202.233.0/24,958443,"PROSPERO OOO Russia; new RDP brute-force infrastructure since Apr 3; block at perimeter"
fingerprint,JA3 cba7f34191ef2379c1325641f6c6c4f4,8951009,"VisionHeight cluster shared fingerprint across all 6 nodes; enterprise VPN/firewall scanning"
fingerprint,JA3 9812cdc989e02988bd1f0734fb6ed1a5,8678148,"DigitalOcean Singapore cluster + Poland scanner; common scanning toolkit across multiple providers"
fingerprint,JA4T 65535_2-4-8-1-3_1400_7,N/A,"VisionHeight cluster TCP fingerprint; correlates with enterprise perimeter scanning campaign"
user_agent,ZMap/5.x,771527,"ZMap scanning tool; used by VisionHeight cluster for initial port discovery across 212+ ports per node"
