type,indicator,sessions,context
cve,CVE-2021-36260,2316035,"Hikvision IP camera unauth RCE; CVSS 9.8; CISA KEV (since 2022-01-09); resurgent; last flagged top-tier in 28 Apr 2026 brief, now driven by a concurrent two-node Netherlands scanner pair (204.76.203.206 + 93.123.72.183 account for ~57% of the week's Hikvision webLanguage Scanner tag volume)"
cve,CVE-2017-9841,604584,"PHPUnit eval-stdin.php RCE; CISA KEV; persistent long-tail exploitation traffic continues"
cve,CVE-2025-55182,474075,"React Server Components pre-auth RCE; CVSS 10.0; CISA KEV; sustained volume; long-running KEV tracked across many prior briefs"
cve,CVE-2024-29291,64327,"Laravel Framework credential leak; new tag of note this week; sessions reported above are from GreyNoise Global Observation Grid observations of probe traffic against this CVE pattern"
cve,CVE-2025-48927,63716,"TeleMessage TM SGNL Spring Boot Actuator /heapdump disclosure; new tag of note this week; sessions reported above are from GreyNoise Global Observation Grid observations of probe traffic against this CVE pattern"
cve,CVE-2020-2034,495,"PAN-OS GlobalProtect pre-auth OS command injection; CVSS 8.1; observed from Byteplus host 163.7.3.220 (enterprise-edge toolkit)"
cve,CVE-2026-27944,133,"Nginx UI unauthenticated /api/backup; CVSS 9.8; new tag of note; observed from Byteplus host 163.7.3.220 (enterprise-edge toolkit)"
cve,CVE-2024-1709,N/A,"ConnectWise ScreenConnect authentication bypass; tertiary probe from 163.7.3.220 enterprise-edge toolkit"
cve,CVE-2021-41773,N/A,"Apache 2.4.49 path traversal; CISA KEV; flagged in VM patch prioritization (High / 7-day)"
cve,CVE-2026-39987,N/A,"Marimo RCE referenced in 90-day history for 85.11.167.7; did not fire this period; block-and-fingerprint candidate"
fingerprint,HASSH 0a07365cc01fa9fc82608ba4019af499,N/A,"Shared SSH client HASSH observed on both Alsycon /24 pair IPs (160.119.76.17 and 160.119.76.57); links the pair to one operator/tooling; use as a local hunt anchor that survives source-IP rotation"
cidr,160.119.76.0/24,1681607,"Alsycon B.V. (AS49870, Netherlands); multi-protocol open-proxy/scanner cluster (160.119.76.17/.57 this week); shared HASSH across the pair; block at perimeter and pair with a locally derived fingerprint"
cidr,85.11.167.0/24,8048601,"TechTies Inc. (AS197170, Netherlands); persistent block-and-fingerprint generalist scanner pair (since 01 June brief); generic scanning with no targeted-exploitation behavior this week; block at perimeter"
cidr,45.198.224.0/24,N/A,"VPSVAULT.HOST LTD (AS215925); MikroTik RouterOS bruteforce infrastructure; pairs with 45.205.1.5; block at perimeter and block 8728/tcp inbound"
user_agent,GoogleBot Pretender,168823,"Fabricated Googlebot user agent observed on Byteplus host 163.7.3.220; consistent with crawler-evasion in target-list construction"
user_agent,Python Requests Client,85508,"Python-requests-default user-agent pattern on 163.7.3.220 enterprise-edge toolkit; weak operator OPSEC indicator"
