type,indicator,sessions,context
cve,CVE-2025-29927,1242362,"Vercel Next.js middleware authorization bypass. A single HTTP header makes the framework skip middleware, which is where many applications place their authentication and authorization checks. Rated CVSS 9.1 and NOT listed in CISA KEV, so a KEV-driven patch queue will not contain it. Corpus-wide connection attempts this period, against 574,683 in the 2026-09-14 brief and 466,856 in the 2026-09-08 brief, a daily rate roughly 87% above the prior brief's. GreyNoise records 14,958 malicious source IPs on it in a 24 hour view, against 2,005 on CVE-2025-55182, the next highest in this package."
cve,CVE-2025-55182,298964,"Meta React Server Components unsafe deserialization reaching unauthenticated remote code execution. Rated CVSS 10.0 and listed in CISA KEV, whose record notes known ransomware campaign use. Corpus-wide connection attempts this period, a daily rate roughly 30% below the 2026-09-14 brief's 369,284. Declining, but it remains the heaviest-armed flaw in this package and 2,005 malicious sources were active on it in a 24 hour view."
cve,CVE-2022-1040,30115,"Sophos Firewall user portal and web administration authentication bypass reaching remote code execution on the appliance, with no credential and no phishing step. Rated CVSS 9.8 and in CISA KEV since 31 March 2022, with public exploit code. Corpus-wide connection attempts this period against 430 in the prior brief's window, roughly sixty times the daily rate, five months after this series recorded the February and March campaign as subsided. The source population is small: 67 malicious sources in 24 hours, 91 across 10 days, 126 across 30 days, so a volume threshold will not fire. Re-verify firmware level on every appliance closed out in April."
cve,CVE-2022-22963,3757,"VMware Spring Cloud Function SpEL expression injection reaching unauthenticated remote code execution through a routing header. Rated CVSS 9.8 and in CISA KEV since 25 August 2022, with public exploit code. Corpus-wide connection attempts this period. Daily unique sources ran 1 to 7 from 14 through 19 September, then 336 on 20 September and 294 on 21 September, a partial collection day, with no return to baseline. GreyNoise records 591 malicious sources on it in a 24 hour view. New to this brief series."
cve,CVE-2018-17246,2099,"Elastic Kibana Console arbitrary file inclusion. The vendor record says a caller with access to the Console API can send a request that attempts to execute JavaScript code, and that this could lead to arbitrary commands running with the permissions of the Kibana process. It carries no published severity score, which is a scoring gap and not a low-severity signal, and it sits outside CISA KEV. Public exploit code exists. Corpus-wide connection attempts this period. Daily unique sources ran 1 to 5 from 14 through 19 September, then 354 on 20 September and 203 on 21 September, a partial collection day. Discovery volume was lower than exploitation volume: 94 attempts on the Kibana Timelion API check behavior against these 2,099. New to this brief series."
cve,CVE-2026-49869,1025,"Kestra OSS authentication bypass reaching unauthenticated remote code execution as root, because the platform ships shell and Python execution plugins enabled by default. Rated CVSS 10.0 and in CISA KEV since 02 September 2026. Corpus-wide connection attempts this period. GreyNoise observed no sources at all from 11 through 13 September, two to four daily from 14 through 19 September, then nine and eight on the final two days, with no decay. 25 malicious sources across 30 days. The watch item: onset sits inside this window, so expect more of this activity next period."
cve,CVE-2025-43989,2,"Shenzhen Tuoshi NR500-EA router command injection through /goform/formJsonAjaxReq. Rated CVSS 6.5 and NOT listed in CISA KEV. The sessions figure is the two attempts sent by 16.5.0.236, the Finding 3 lead source, alongside its container and Tomcat management sweep and three Jenkins remote code execution attempts. Listed for the source correlation rather than for its volume: it shows the same host reaching past management planes into embedded devices."
cidr,94.154.46.0/24,2830555,"AS202412 (Omegatech LTD), Germany. Nine active hosts, unchanged from the 2026-09-14 brief's nine, forging the Googlebot identity while harvesting secrets. GoogleBot Pretender recorded 2,709,348 connection attempts corpus-wide, up from 2,188,545, and roughly two thirds of that came from this range, down from 82% in the prior brief. Verify every inbound Googlebot claim against the source address, because the declared user agent is forged. Do NOT block at the perimeter as a range: resolve each member on its own record and key the durable control on the GoogleBot Pretender tag."
cidr,16.5.0.0/24,2051229,"AS401661 (EMBNEX, LLC), Brazil. 72 active hosts this period against the 14 the 2026-09-08 brief counted, at a daily rate roughly 79% below that brief's. That change was already in place a week ago: the prior brief's window held 69 active hosts at 1,705,044 connection attempts, and this period's daily rate runs about 4% above it. Member 16.5.0.236 is the Finding 3 lead source and is classified malicious. Do NOT block at the perimeter as a range: the members are rented addresses that rotate between periods, so resolve every member on its own GreyNoise record and key the durable control on the Docker Scanner and Tomcat Manager behavioral tags, which survive the address turnover."
cidr,213.209.159.0/24,1814366,"AS208137 (Feo Prest SRL), Germany. 44 active hosts against the 47 the 2026-09-14 brief counted, carried in this series since the 2026-06-22 brief for secret and configuration file harvesting. One member ran 9,982 Symfony Profiler debug console code execution attempts, 19.7% of the 50,594 GreyNoise observed on that behavior corpus-wide. Do NOT block at the perimeter as a range: the range mixes GreyNoise classifications across its members, so resolve every member on its own record."
