type,indicator,sessions,context
cve,CVE-2025-31161,596,"CrushFTP authentication bypass taking over the crushadmin account. CVSS 9.8; in CISA KEV since 7 April 2025. GreyNoise carries this behavior under the tag ""CrushFTP Authentication Bypass CVE-2025-2825 Attempt""; CVE-2025-2825 is a duplicate reservation and CVE-2025-31161 is the authoritative record, so pivot in the Visualizer on the tag name. First carried in the 2026-04-06 brief as a critical patch item; 37 malicious sources this period, 26 of them on 02 August."
cve,CVE-2024-4040,152,CrushFTP server-side template injection and virtual file system sandbox escape. CVSS 9.8; in CISA KEV since 24 April 2024. New to this series this period as an exploitation attempt.
cve,CVE-2023-34362,164,MOVEit Transfer SQL injection to remote code execution. CVSS 9.8; in CISA KEV. New to this series this period as an exploitation attempt.
cve,CVE-2023-0669,27,GoAnywhere MFT pre-authentication command injection. CVSS 7.2; in CISA KEV. New to this series this period as an exploitation attempt.
cve,CVE-2024-28995,68,SolarWinds Serv-U path traversal. CVSS 8.6; in CISA KEV. New to this series this period as an exploitation attempt.
cve,CVE-2025-47812,35,"Wing FTP Server pre-authentication remote code execution. CVSS 10.0; in CISA KEV. Trend: new to this series this period, part of the six-product file transfer spread."
cve,CVE-2024-55956,9,"Cleo Harmony, VLTrader and LexiCom: an unauthenticated user can import and execute arbitrary Bash or PowerShell commands via the default settings of the Autorun directory. CVSS 9.8; in CISA KEV. Trend: lowest volume of the six file transfer products under attempt this period."
cve,CVE-2023-27524,2066,"Apache Superset default SECRET_KEY session forgery. CVSS 8.9; in CISA KEV since 8 January 2024. Trend: the 2026-06-01 brief noted it was not drawing volume; this period 80 malicious sources, stepping from 3 on 08 August to 40 on 09 August and 34 on 10 August, a partial collection day."
cve,CVE-2018-6184,1860,"Next.js directory traversal under /_next. NVD CVSS 7.5; not in CISA KEV. Trend: not previously reported in this series; 458 malicious sources across the window. 85% of them also carry CVE-2020-5284, so the two Next.js traversal signatures are one host population, not two."
cve,CVE-2020-5284,998,Next.js directory traversal into .next. NVD CVSS 4.3; not in CISA KEV. Trend: not previously reported in this series; 409 malicious sources across the window; 94% also carry CVE-2018-6184.
domain,scan[.]visionheight[.]com,5959073,"Unvalidated reverse DNS record shared by all five AS16509 hosts in the cloud-hosted scanning fleet tracked since the 2026-02-16 brief. Unvalidated reverse DNS record shared by all five AS16509 hosts in the cloud-hosted scanning fleet tracked since the 2026-02-16 brief. The sessions figure combines all five hosts' connection attempts. Those five hosts produced 2,551 CrushFTP reconnaissance probes between them, roughly 4% of the 58,237 CrushFTP Scanner probes GreyNoise observed."
cidr,185.177.72.0/24,6620929,"AS211590. 23 active hosts, secret and configuration file harvesting fleet carried since the 2026-02-06 brief. Restrict the hosts GreyNoise classifies malicious in this range. Resolve the range in GreyNoise before applying anything range-wide: it is not uniformly malicious."
cidr,45.153.34.0/24,3305236,AS197170. 36 active hosts running SSH credential attacks. Restrict the hosts GreyNoise classifies malicious in this range; resolve it in GreyNoise before applying anything range-wide.
cidr,45.148.10.0/24,2686448,"AS48090. 69 active hosts. Restrict the hosts GreyNoise classifies malicious in this range. Resolve the range in GreyNoise before applying anything range-wide: it is not uniformly malicious."
fingerprint,JA4H ge11nn06enus_8d3d7241d0f5_000000000000_000000000000,2927262,"Corpus-wide connection attempts across all sources, shared byte for byte by the Feo Prest pair on AS208137 alongside one in-window TLS fingerprint. Use as a tool-class pivot only, confirming candidates on their own tag profiles. Visualizer search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn06enus_8d3d7241d0f5_000000000000_000000000000%22"
fingerprint,JA4H ge11nn040000_580a00142f88_000000000000_000000000000,894518,"Corpus-wide connection attempts across all sources. Presented by the three-day Amazon-hosted credential harvesting host 54.237.234.26, but the total is corpus-wide and cannot be decomposed to that host. Marks a tool class, not a linkage; confirm any candidate on its own tag profile. Visualizer search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn040000_580a00142f88_000000000000_000000000000%22"
ip,176.120.22.179,7043901,"AS198953, classified malicious. Highest-volume source this period: RDP enumeration with 580,110 RDP Bruteforce Attempt sessions, 8.2% of its own connections. GreyNoise last observed it 06 August, so the address is already spent."
ip,62.164.177.54,2829478,"AS215929, classified malicious. RDP enumeration with 65,887 RDP Bruteforce Attempt sessions, 2.3% of its own connections. Active through window close; perishable, pair with the RDP Crawler and RDP Bruteforce Attempt tags."
ip,213.209.159.175,2519766,"AS208137, classified malicious. Secret and configuration file harvesting; 819,693 ENV Crawler sessions, plus Laravel CVE-2024-29291 and TeleMessage CVE-2025-48927 tails."
ip,103.149.197.34,2401949,"AS140158, classified malicious, ISP address space. 515,310 SSH Bruteforcer sessions, 11.2% of the corpus-wide total. Correlate SSH authentication records for the window; a successful authentication is an access event. Perishable."
ip,54.237.234.26,1011802,"AS14618, classified malicious. Credential file and cloud metadata harvesting; carried roughly 40% of the corpus-wide Vite CVE-2025-30208 file disclosure attempts. GreyNoise first observed it 03 August and last observed it 05 August, so the address is already spent: block tactically and put the durable control on the ENV Crawler and Generic Sensitive File Access Attempt tags."
ip,193.142.146.219,993029,"AS213438, classified malicious. RDP enumeration; only 345 RDP Bruteforce Attempt sessions, 0.03% of its connections, so enumeration rather than credential attack. Fell to roughly a thousand connection attempts on 09 August against a window average near 100,000 a day."
asn,AS211590,6620929,"Bucklog SARL. Effectively all traffic GreyNoise observed from this network this period came from 185.177.72.0/24, running secret and configuration file harvesting across 23 active hosts."
asn,AS16509,5959073,Amazon. Combined connection attempts from the five profiled hosts of the cloud-hosted scanning fleet tracked since the 2026-02-16 brief. Do not block the ASN; block the named hosts and hunt the shared fingerprint set.
