type,indicator,sessions,context
cve,CVE-2019-1579,,"Palo Alto GlobalProtect unauthenticated RCE; CVSS 8.1; CISA KEV (Jan 2022); public exploit code; affects PAN-OS 7.1.18, 8.0.11-h1, 8.1.2 and earlier. Resurged from a near-dormant baseline (isolated single-digit activity in late June) to more than 120 malicious hosts on the evening of 06 Jul; almost all on AS200373 (3xK Tech), all probing GlobalProtect portals on TCP 443"
asn,AS200373 (3xK Tech),,"Coordinated hosting fleet driving the GlobalProtect CVE-2019-1579 resurgence: almost all of the 120+ hosts probing GlobalProtect portals on TCP 443 on 06 Jul are on this network. Block or closely monitor traffic from it to any GlobalProtect portal; expect source-address rotation"
ip,216.26.226.237,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,45.3.34.152,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,45.3.62.192,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,45.3.32.188,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,216.26.227.185,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,65.111.11.222,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS200373 (3xK Tech), US; classified malicious"
ip,45.142.193.132,,"GlobalProtect CVE-2019-1579 exploitation attempt, 06 Jul 2026; AS213388 (IIC Rail), Netherlands; classified malicious"
cidr,185.177.72.0/24,3783245,"Bucklog SARL (AS211590), France; coordinated web-exploitation and credential-harvesting fleet; all 34 classified IPs malicious per GreyNoise; block at perimeter and expect re-provisioning within the provider"
cidr,45.148.10.0/24,2385578,"TECHOFF (AS48090), Netherlands; coordinated fleet; 49 malicious + 21 suspicious IPs per GreyNoise; part of the same toolkit as 195.178.110.0/24"
cidr,195.178.110.0/24,1313047,"TECHOFF (AS48090), Netherlands; coordinated fleet; 46 malicious + 9 suspicious IPs per GreyNoise; block at perimeter"
cve,CVE-2024-44000,2606,"WordPress LiteSpeed Cache plugin debug-log auth bypass; CVSS 9.8; public exploit code; fired by both fleets; commodity, previously reported"
cve,CVE-2024-29291,17546,"Laravel framework credential-leak; fired by the Bucklog fleet; commodity, previously reported"
cve,CVE-2017-9841,557318,"PHPUnit eval-stdin.php RCE; CVSS 9.8; CISA KEV; highest recurring KEV exploitation-attempt volume this week"
cve,CVE-2021-36260,250085,"Hikvision IP camera command-injection RCE; CVSS 9.8; CISA KEV; persistent, extending the 15 and 22 June 2026 briefs (874,888 webLanguage Scanner probes this week)"
cve,CVE-2025-55182,184309,"React Server Components pre-auth deserialization RCE; CVSS 10; CISA KEV; recurring; inventory react-server-dom-* 19.x packages"
cve,CVE-2024-4577,55929,"PHP-CGI (Windows) OS command injection; CVSS 9.8; CISA KEV; recurring"
cve,CVE-2017-20149,219711,"MikroTik RouterOS Chimay-Red RCE; 219,711 Chimay-Red scanning probes this week, concurrent with the VPSVAULT RouterOS brute-force"
behavior,Coordinated fleet toolkit (AS48090 + AS211590),,"Shared request sequence across all three fleet /24s: .env, /.git/config, AWS-config, and PHP-info paths followed by per-CVE probes. Detect on the behavior; the rented address blocks rotate but the toolkit does not"
behavior,VPSVAULT RouterOS brute-force,,"RouterOS Bruteforcer against TCP 8728 from 45.198.224.18 and 45.198.224.15 (AS215925); pivot within the /24"
behavior,RDP crawl-to-brute-force pattern,,"RDP Crawler sweep then RDP Bruteforce on port 3389 across 194.165.16.9 and 62.164.177.54; hunt the pattern for additional short-lived nodes"
