type,indicator,sessions,context
cve,CVE-2025-55182,268994,"React Server Components unsafe-deserialisation RCE; CVSS 10.0; CISA KEV (added 4 Dec 2025); 689 malicious IPs in last 24h; persistent stable vs 26 May brief"
cve,CVE-2020-2034,94764,"PAN-OS GlobalProtect command injection; CVSS 8.1; 492 malicious IPs in last 24h; concurrent with Fortinet bruteforce — concurrent VPN sweep"
cve,CVE-2017-0144,2612131,"MS17-010 EternalBlue / WannaCry variant SMB; CVSS 8.1; CISA KEV; nine years on, still top-15 by volume; sustained worm-class targeting"
cve,CVE-2024-4577,N/A,"PHP-CGI command injection; CVSS 9.8; CISA KEV; opportunistic mass-scanning target with strong public exploit coverage"
cve,CVE-2021-41773,N/A,"Apache HTTP Server path traversal; CVSS 9.8; CISA KEV; long-tail cheap-to-spray RCE"
cve,CVE-2017-9841,N/A,"PHPUnit Util/PHP/eval-stdin.php RCE; CVSS 9.8; CISA KEV; persistent opportunistic targeting — confirm /vendor/phpunit/ not externally accessible"
cve,CVE-2012-1823,N/A,"PHP-CGI query-string RCE; CVSS 9.8; CISA KEV; long-tail mass-exploitation-attempt target"
cidr,85.11.167.0/24,7190652,"Netherlands /24 (ColocaTel-hosted); paired 85.11.167.7 and .11 dominate corpus (#1 and #2 IPs, ~3.0% of weekly total); .11 tracked since 26 April brief; block at perimeter as perishable control"
cidr,160.119.76.0/24,2847530,"Alsycon B.V. cluster (Netherlands; AS49870; first documented 26 April brief, contracting); four active nodes (.51/.55/.59/.60); block at perimeter and pivot to behavioural detection"
cidr,80.94.95.0/24,N/A,"Persistent rotation cluster (six of top-100 IPs this week); block at perimeter; rotation-resistant — pair with fingerprint detection"
cidr,45.156.87.0/24,N/A,"Persistent rotation cluster (six of top-100 IPs this week); block at perimeter alongside other disposable hosting /24s"
cidr,176.65.132.0/24,N/A,"Rotation cluster present in top-100; block at perimeter; treat as perishable inventory"
cidr,45.153.34.0/24,N/A,"Recurring rotation source; block at perimeter as part of weekly perishable deny-list"
cidr,192.253.248.0/24,N/A,"Recurring rotation source (192.253.248.169 in top-10 emitters); block at perimeter"
fingerprint,JA4H ge11nn040000_e1d2031bdfea,12913880,"Generic GET / no headers / Linux Go/Python scanner stack; correlates with 85.11.167 pair; almost never legitimate against authenticated endpoints"
fingerprint,JA4T 64240_2-4-8-1-3_1460_7,66358281,"Stock Linux TCP fingerprint; Go/Python scanning stack — dominant corpus-wide fingerprint this week"
fingerprint,JA4T 64952_2-4-8-1-3_1412_7,26794444,"Linux variant with MSS 1412 — suggests tunnelled scanner traffic; companion to primary JA4T set"
fingerprint,JA4T 8192_2-1-3-1-1-4_1460_8,5386028,"Mirai-family TCP signature; correlates with Generic IoT Default Password Attempt activity (5,560,865 sessions)"
fingerprint,JA4T 8192_2-1-3-1-1-4_1460_2,4400200,"Mirai-family TCP signature variant; pair with the _1460_8 fingerprint when hunting CPE/IoT conscription"
