type,indicator,sessions,context
cve,CVE-2020-2034,259010,"Palo Alto GlobalProtect PAN-OS command injection, CVSS 8.1, not in CISA KEV; continuing edge pressure tracked since the 2026-06-15 brief, no spike this week"
cve,CVE-2025-5777,62686,"Citrix NetScaler CitrixBleed 2 memory disclosure, CVSS 7.5, CISA KEV; steady probing on the same edge-appliance class, flat vs prior briefs"
cve,CVE-2024-29291,59902,"Laravel framework debug-log DB credential leak, not in CISA KEV; requested by three separate clusters this week including the twin crawlers and the Feo Prest pair"
cve,CVE-2025-48927,6009,"TeleMessage TM SGNL Spring Boot Actuator /heapdump disclosure, CISA KEV; ongoing across the 2026-06-22 and 2026-07-13 briefs, carried by 213.209.159.175 and the Byteplus host"
cve,CVE-2026-27944,3213,"Nginx UI unauthenticated backup disclosure, CVSS 9.8, not in CISA KEV; count is the twin-crawler two-host sum (159.89.117.80 + 161.97.74.198), not a corpus-wide total; discloses stored credentials, private keys, and TLS material, probing first documented in the 2026-06-15 brief"
cve,CVE-2024-44000,268,"WordPress LiteSpeed Cache debug-log session leak, CVSS 9.8, not in CISA KEV; count is the twin-crawler two-host sum; new to the twin-crawler pair this week, enables authentication bypass"
cve,CVE-2026-60137,1393,"WordPress core WP_Query author__not_in SQL injection, CVSS 5.9, CISA KEV (added 2026-07-20); disclosed 16 July 2026, exploitation attempts began 18 July, 137 unique sources within the analysis window ramping 33→61→75/day (IP-level: 86 malicious, 36 suspicious, 14 unknown, 1 benign), 16 public exploits catalogued for the CVE, can chain to RCE; geographically broad (US, SG, DE, ID, NL, and 10+ other countries)"
cve,CVE-2025-30208,10,"Vite arbitrary file disclosure, not in CISA KEV; count is a single-host figure (213.209.159.175); low-volume and ongoing within the Feo Prest pair activity, not a new development"
cidr,91.238.181.0/24,N/A,"FBW NETWORKS (AS49434) RDP brute-force block, the single-/24 fleet from the 2026-07-13 brief still active; block at perimeter and pair with the shared JA4T behavioral rule"
cidr,45.198.224.0/24,"490472 (host 45.198.224.15)","VPSVAULT (AS215925) MikroTik RouterOS API brute-force block, lead host 45.198.224.15; block at perimeter, restrict RouterOS API TCP/8728 to management networks"
cidr,85.11.167.0/24,"640090 (host 85.11.167.7)","TechTies (AS197170) generalist opaque database-port scanner, declining from 8.19M combined in 2026-06-08 to a single host this week; block at perimeter as durable infrastructure"
fingerprint,JA4T 200_2-1-3-1-1-4_1460_0,5097823,"RDP cohort transport fingerprint, fifth-highest corpus-wide TCP fingerprint; a common RDP client-stack signature (marks the tool class, not a single operator) — pair with RDP-crawling behavior for detection across AS215929, AS35042, and AS49434"
fingerprint,JA4H ge11nn06enus_8d3d7241d0f5,1919194,"Feo Prest secret-harvesting pair client fingerprint, shared by 213.209.159.175 and 213.209.159.154 on AS208137; the durable pivot for the .env and config-collection operation"
fingerprint,JA4H ge11nn030000_fe444ad14866,1699528,"Twin Nginx UI/LiteSpeed crawler client fingerprint, shared by 159.89.117.80 (DigitalOcean) and 161.97.74.198 (Contabo); catches the same toolkit on any additional provider"
fingerprint,JA4 t13i1311h2_f57a46bbacb6_ab7e3b40a677,N/A,Feo Prest pair secondary fingerprint corroborating the JA4H linkage across the two AS208137 hosts
fingerprint,JA4T 200_2-1-1-4_1460_00,N/A,RDP cohort alternate transport fingerprint appearing alongside the primary JA4T on the same brute-force hosts
