type,indicator,sessions,context
cve,CVE-2026-35616,1535690,"CVSS 9.1 | CISA KEV since April 6 | FortiClient EMS pre-auth API bypass | +N/A% WoW (new tag)"
cve,CVE-2024-1709,N/A,"CVSS 10.0 | CISA KEV | ConnectWise ScreenConnect auth bypass | exploited by VisionHeight cluster"
cve,CVE-2026-24061,N/A,"CVSS 9.8 | CISA KEV | GNU Inetutils telnetd auth bypass | integrated into VPSVAULT botnet arsenal"
cve,CVE-2020-2034,134239,"CVSS 8.1 | Palo Alto PAN-OS GlobalProtect command injection | 1376 malicious IPs in 10 days"
cve,CVE-2021-36260,N/A,"CVSS 9.8 | CISA KEV | Hikvision camera command injection | active botnet recruitment vector"
cve,CVE-2023-1389,N/A,"CVSS 8.8 | CISA KEV | TP-Link Archer AX21 command injection | exploited by 13 botnets"
cve,CVE-2022-1040,53281,"CVSS 9.8 | Sophos Firewall RCE | -75.3% WoW | declining campaign"
cve,CVE-2025-55182,790762,"CVSS 10.0 | React Server Components RCE | -27.1% WoW | 13th consecutive week"
cve,CVE-2026-2699,N/A,"CVSS 9.8 | ShareFile Storage Zones Controller access control bypass | published April 2 | emerging"
domain,scan[.]visionheight[.]com,6180111,"rDNS for 6-node AWS scanning cluster | US-East-2 Ohio | active since January 2026 | targets enterprise VPN/firewall"
cidr,45.205.1.0/24,2732814,"VPSVAULT.HOST LTD (AS215925) | Brazil | IoT botnet recruitment | 16+ CVEs weaponized | block at perimeter"
fingerprint,JA3 cba7f34191ef2379c1325641f6c6c4f4,6180111,"VisionHeight cluster shared fingerprint | 6 AWS IPs | enterprise perimeter targeting"
fingerprint,JA3 9460af62ae0af667130bf0d36514f084,2732814,"VPSVAULT cluster shared fingerprint | 2 IPs in AS215925 | IoT exploitation"
fingerprint,JA4T 65535_2-4-8-1-3_1400_7,N/A,"Associated with coordinated scanning infrastructure | cross-reference across tags for coordination"
