type,indicator,sessions,context
cve,CVE-2025-55182,1088288,"CVSS 10.0 | CISA KEV | React Server Components RCE | -14.4% WoW | 1789 active malicious IPs"
cve,CVE-2025-31161,N/A,"CVSS 9.8 | CISA KEV added 2026-04-06 | CrushFTP authentication bypass | active reconnaissance"
cve,CVE-2026-35616,N/A,"CVSS 9.1 | CISA KEV added 2026-04-06 | FortiClient EMS pre-auth API bypass | zero-day since March 31"
cve,CVE-2026-32922,N/A,"CVSS 9.9 | OpenClaw AI Assistant RCE | 135000+ exposed instances"
cve,CVE-2026-33017,N/A,"CVSS 9.3 | Langflow AI Pipeline RCE | exploited within 20 hours of disclosure"
cve,CVE-2022-1040,216086,"CVSS 9.8 | CISA KEV | Sophos Firewall RCE | -36.8% WoW | 34 active malicious IPs"
cve,CVE-2024-36401,34334,"GeoServer GeoTools RCE | new exploitation tag this week"
cve,CVE-2023-33831,8231,"FUXA ICS HMI arbitrary command execution | dual-CVE chain with CVE-2025-69985"
cve,CVE-2025-69985,8231,"FUXA ICS HMI authentication bypass RCE | dual-CVE chain with CVE-2023-33831"
cve,CVE-2026-24061,N/A,"CVSS 9.8 | GNU Inetutils telnetd auth bypass | integrated into IoT exploitation chains"
domain,proxy[.]proxiesfood[.]com,N/A,"CONNECT proxy infrastructure | compromised proxy network | block at perimeter"
domain,proxy[.]flarevpn[.]digital,N/A,"CONNECT proxy infrastructure | compromised proxy network | block at perimeter"
domain,rapidis[.]gay,N/A,"CONNECT proxy infrastructure | compromised proxy network | block at perimeter"
cidr,45.205.1.0/24,N/A,"AS215925 VPSVAULT.HOST LTD (Brazil) | multi-CVE IoT exploitation cluster | Mirai-adjacent payloads | block at perimeter"
cidr,80.94.95.0/24,N/A,"AS204428 SS-Net (Romania) | bulletproof hosting | RDP brute-force and multi-port scanning | block at perimeter"
cidr,176.120.22.0/24,N/A,"AS198953 Proton66 OOO (Russia) | malicious scanning infrastructure | block at perimeter"
fingerprint,JA4T OpenAPI-Generator user agent,46101,"Kubernetes batch API enumeration targeting AI pipeline workloads"
user_agent,Feroxbuster/*,159457,"Rust-based recursive directory enumeration tool | +845.9% WoW | credential harvesting campaign"
user_agent,OpenAPI-Generator/7.* (java),46101,"Automated Kubernetes API enumeration | targeting AI/ML batch job namespaces"
